1980 1 1
1.191,-1.089
1.86,-1.429
4.821,-1.93
8.848,-0.799
7.118,0.741
-0.219,-7.011
2.168,-5.351
3.979,-0.61
9.547,3.129
13.39,7.231
13.03,8.972
7.692,0.312
2.841,-2.941
-0.939,-5.619
3.581,-3.179
1.3,-2.52
-0.549,-4.531
1.01,-4.79
-1.471,-3.762
-2.252,-7.562
1.66,-3.231
-0.69,-10.671
-8.181,-12.57
-7.401,-13.052
-4.17,-9.152
0.41,-6.811
-1.59,-10.1
-10.711,-13.791
-5.27,-16.111
-4.72,-8.4
-2.431,-11.31
-0.02,-5.1
-0.85,-10.63
-0.48,-9.169
-1.89,-5.41
-2.24,-9.449
-9.479,-14.04
-15.09,-21.036
-12.771,-25.52
-2.82,-17.44
-3.17,-13.93
-9.861,-17.43
-9.271,-19.051
-9.551,-16.05
-12.1,-16.499
-11.5,-17.999
-3.401,-12.27
-1.26,-6.88
-1.281,-5.64
-2.97,-8.88
-6.36,-12.158
-4.972,-17.28
-1.391,-15.819
-0.66,-8.551
-2.498,-7.76
-1.491,-11.129
-0.551,-11.62
-1.101,-11.35
0.772,-8.538
1.822,0.691
0.93,-0.8
-0.419,-1.43
-1.929,-6.69
-3.72,-6.67
-3.57,-11.431
0.76,-7.4
0.68,-10.78
-11.48,-16.09
-11.06,-13.37
-9.141,-16.001
-2.72,-10.821
0.4,-5.38
-0.23,-8.181
-3.36,-9.792
0.941,-6.719
1.391,-13
-13.3,-21.162
-5.519,-19.25
-0.72,-11.46
1.451,-8.38
2.25,-2.528
9.783,-0.919
10.777,1.022
12.918,3.782
12.18,3.731
10.589,-0.011
9.685,-0.539
7.76,5.281
8.039,0.91
6.22,-1.438
4.78,-1.029
5.81,-3.491
9.752,2.221
6.5,0.69
4.98,-0.23
0.69,-3.83
3.92,-3.399
2.9,-0.35
1.17,-1.87
1.489,-3.41
3.389,-0.73
5.019,-0.231
7.24,1.13
5.82,-0.85
12.519,-0.91
8.84,-1.27
3.959,-2.96
14.208,-2.449
10.38,-3.62
0.43,-2.57
-0.311,-4.61
-0.283,-4.49
1.91,-3.559
4.66,-1.54
6.739,-3.528
7.499,-1.76
10.019,2.47
9.379,2.53
13.918,1.48
11.659,1.24
19.189,0.801
18.762,7.531
16.611,12.131
23.23,8.47
19,11.442
19.85,4.301
24.84,10.831
20.078,14.96
18.209,5.23
9.55,1.27
17.659,0.16
21.34,7.282
19.32,11.58
12.78,3.35
25.37,11.973
22.82,9.679
14.039,3.889
16.453,8.631
8.959,1.56
17.61,1.13
